,percent
6689,7.3percent
6690,48percent
6691,10percent
6692,8percent
6693,5percent
6694,10%
6695,6.5percent
6696,5percent
6697,70%
6698,24%
6699,2.9%
6700,28%
6701,2%
6702,5%
6703,8.6%
6704,13.2%
6705,7.7percent
6706,3.8percent
6707,63.5percent
6708,63.6percent
6709,7.9percent
6710,7.7%
6711,7.9%
6712,2%
6713,2%
6714,6%
6715,20%
6716,0.4%
6717,7.8%
6718,150%
6719,2.5%
6720,45%
6721,exportpercent
6722,linepercent
6723,exportpercent
6724,0.9percent
6725,0.5percent
6726,2.6percent
6727,7.7%
6728,25%
6729,5%
6730,10%
6731,3%
6732,3.2percent
6733,6.0percent
6734,1.6percent
6735,3.2percent
6736,3.0percent
6737,6.0percent
6738,1.1percent
6739,1.5percent
6740,0.8percent
6741,3.5percent
6742,2.6percent
6743,4percent
6744,1.6percent
6745,1.6percent
6746,0.2percent
6747,5%
6748,50%
6749,4%
6750,83%
6751,10%
6752,56%
6753,5%
6754,2%
6755,near-zeropercent
6756,1%
6757,0.5%
6758,1.5%
6759,2%
6760,0.6%
6761,14.7%
6762,12.8%
6763,13%
6764,3%
6765,4%
6766,11%
6767,2%
6768,5%
6769,6%
6770,10percent
6771,47percent
6772,43percent
6773,40%
6774,80percent
6775,0.12%
6776,0.00005%
6777,40%
6778,20%
6779,7.9percent
6780,7.7percent
6781,4percent
6782,8percent
6783,9.41percent
6784,15.6percent
6785,14.59percent
6786,2.48percentage point
6787,12.11percent
6788,12.11percent
6789,highpercent
6790,wagepercent
6791,lowpercent
6792,record-lowpercent
6793,sharplypercent
6794,investmentpercent
6795,70%
6796,1%
6797,0%
6798,0.7%
6799,6%
6800,0.8%
6801,99%
6802,1%
6803,1%
6804,47%
6805,25%
6806,2.5percent
6807,117percent
6808,117percent
6809,16percentage point
6810,Fourpercent
6811,3percent
6812,20percent
6813,2percent
6814,8percent
6815,20%
6816,24%
6817,2%
6818,2%
6819,13%
6820,18percent
6821,31.7percent
6822,24percent
6823,23.8%
6824,10%
6825,2.2%
6826,4.9%
6827,6.3%
6828,10.1%
6829,10.4%
6830,15.7%
6831,17.3%
6832,12.3%
6833,8.7%
6834,67.2percent
6835,7.5%
6836,8%
6837,3.4percent
6838,7.5percent
6839,7.5%
6840,3.75%
6841,99%
6842,1%
6843,1%
6844,47%
6845,25%
6846,67.2percent
6847,1%
6848,128percent
6849,129percent
6850,0.8%
6851,87percent
6852,70percent
6853,1.5percentage point
6854,5percent
6855,7.7percent
6856,7.9percent
6857,10%
6858,9.2%
6859,50percent
6860,0.5percent
6861,72%
6862,15.0percent
6863,onepercent
6864,15%
6865,20%
6866,14%
6867,8%
6868,12%
6869,15%
6870,70percent
6871,0.3%
6872,115%
6873,42.1%
6874,59.0%
6875,79.9%
6876,75.8%
6877,110.9%
6878,31.0%
6879,43.7%
6880,36.8%
6881,75.7%
6882,31.3%
6883,54.9%
6884,57.9%
6885,32.9%
6886,41.7%
6887,43.7%
6888,59.7%
6889,38.1%
6890,67.3%
6891,55.3%
6892,64.7%
6893,76.0%
6894,58.3%
6895,61.5%
6896,83.2%
6897,137.6%
6898,224.5%
6899,21.4%
6900,56.9%
6901,29.1%
6902,45.4%
6903,71.1%
6904,77.9%
6905,127.3%
6906,38.2%
6907,49.9%
6908,60.1%
6909,75.2%
6910,68.6%
6911,95.1%
6912,102.6%
6913,129.3%
6914,36.6%
6915,54.0%
6916,63.5%
6917,84.5%
6918,134.7%
6919,5%
6920,5%
6921,5%
6922,5%
6923,5%
6924,10%
6925,10%
6926,21%
6927,22%
6928,Forty-ninepercent
6929,growingpercent
6930,0%
6931,largepercent
6932,10%
6933,1%
6934,12%
6935,373%
6936,1000%
6937,2.4%
6938,130%
6939,11.7%
6940,38.7%
6941,65%
6942,65%
6943,70%
6944,50%
6945,10%
6946,130%
6947,50%
6948,42percent
6949,90percent
6950,2.1percent
6951,7percent
6952,3percent
6953,17percent
6954,25percent
6955,92percent
6956,79.9percent
6957,79.9percent
6958,12percent
6959,79.9%
6960,4.6%
6961,4.6percent
6962,5percent
6963,10percent
6964,8%
6965,15percent
6966,26.33percent
6967,44.8percent
6968,24.72percent
6969,26percent
6970,26.23percent
6971,25percent
6972,0.95percent
6973,12.43percent
6974,12.78percent
6975,20percent
6976,sixpercent
6977,7.7percent
6978,55%
6979,33%
6980,20%
6981,30%
6982,8percent
6983,13%
6984,21%
6985,4.6%
6986,10%
6987,55%
6988,59%
6989,1.8%
6990,150%
6991,4.6%
6992,5.0%
6993,4.3%
6994,15000%
6995,1400%
6996,likepercent
6997,117percent
6998,0.3percent
6999,0.7percent
7000,0.5percent
7001,0.3percent
7002,39.6%
7003,4percent
7004,8%
7005,3.5%
7006,3percent
7007,sevenpercent
7008,50%
7009,20%
7010,1.8percent
7011,1.9percent
7012,43%
7013,20%
7014,63%
7015,11.1%
7016,26.4%
7017,26.6%
7018,0.9%
7019,0.8%
7020,0.28%
7021,5.4percent
7022,40percent
7023,1percent
7024,6.11percent
7025,100%
7026,38percent
7027,80percent
7028,3percent
7029,55%
7030,15%
7031,2%
7032,2%
7033,selectpercent
7034,anotherpercent
7035,80percent
7036,1%
7037,121%
7038,99%
7039,50%
7040,showpercent
7041,60%
7042,5%
7043,6%
7044,2%
7045,12%
7046,10%
7047,12%
7048,5%
7049,95%
7050,25percent
7051,46%
7052,29%
7053,57%
7054,23percent
7055,82percent
7056,4.9percent
7057,40percent
7058,20percent
7059,2.25%
7060,10%
7061,340percent
7062,370percent
7063,390percent
7064,40percent
7065,2percent
7066,1percent
7067,25percent
7068,25percent
7069,35percent
7070,2.6percent
7071,2.2percent
7072,1.1%
7073,0.4%
7074,2.6%
7075,2.2%
7076,2.4%
7077,3percent
7078,38percent
7079,80percent
7080,20percent
7081,16percent
7082,7percent
7083,7%
7084,53percent
7085,39percent
7086,65percent
7087,40percent
7088,85percent
7089,1.5%
7090,2.5%
7091,1.5%
7092,2.5%
7093,50%
7094,1.1%
7095,0.5%
7096,1.0%
7097,10%
7098,15%
7099,10%
7100,99.9percent
7101,100percent
7102,0.4%
7103,0.1%
7104,0.4%
7105,0.9%
7106,0.8%
7107,1.3%
7108,1.7%
7109,1percent
7110,5%
7111,5%
7112,pullbackpercentage point
7113,2%
7114,0.99%
7115,0.6%
7116,0.44%
7117,9.2%
7118,15.6%
7119,8.4%
7120,19.4%
7121,13.1%
7122,10.5%
7123,9.6%
7124,2%
7125,1.1%
7126,0.4%
7127,4.5%
7128,0.7%
7129,1.8%
7130,1.2%
7131,2.4%
7132,two-percent
7133,0.7percent
7134,0.6percent
7135,8percent
7136,45percent
7137,75percent
7138,sevenpercent
7139,75%
7140,85%
7141,12%
7142,80%
7143,0.7%
7144,10percent
7145,19percent
7146,17percent
7147,50percent
7148,worldpercent
7149,95percent
7150,98%
7151,175percent
7152,11.3%
7153,1.25%
7154,3%
7155,60%
7156,4%
7157,2%
7158,Thepercent
7159,9%
7160,11%
7161,85%
7162,25percent
7163,5percent
7164,70%
7165,greaterpercent
7166,25percent
7167,37percent
7168,71percent
7169,26.4percent
7170,5.7percent
7171,57.8percent
7172,25percent
7173,40percent
7174,1.7percent
7175,twopercent
7176,25percent
7177,twopercent
7178,123percent
7179,400percent
7180,105percent
7181,49percent
7182,319percent
7183,10percent
7184,25percent
7185,eightpercent
7186,99%
7187,1percent
7188,21.8percent
7189,10.1percent
7190,7.5percent
7191,7.8percent
7192,7.5percent
7193,8percent
7194,factorpercent
7195,99%
7196,0.3percent
7197,0.7percent
7198,0.5percent
7199,0.8percent
7200,3.5percent
7201,13percent
7202,3.2percent
7203,25percent
7204,30percent
7205,30percent
7206,30percent
7207,87%
7208,9.2%
7209,15.6%
7210,8.4%
7211,19.4%
7212,13.1%
7213,10.5%
7214,9.6%
7215,60%
7216,40%
7217,36percent
7218,36percent
7219,60percent
7220,threepercent
7221,98percent
7222,80percent
7223,25percent
7224,25percent
7225,bracketpercent
7226,0.1percent
7227,20percent
7228,35%
7229,23percent
7230,3.8percent
7231,6.7percent
7232,3.7percent
7233,0.4percent
7234,3.3percent
7235,2.9percent
7236,3.0percent
7237,0.7percent
7238,0.4percent
7239,0.8percent
7240,0.3percent
7241,0.5percent
7242,0.7percent
7243,0.8percent
7244,1.6percent
7245,0.3percent
7246,99.5percent
7247,2.5percent
7248,79.6percent
7249,0.6percentage point
7250,0.7percent
7251,0.2percent
7252,1.7percent
7253,1.3percent
7254,0.2percent
7255,3.2percent
7256,0.4percent
7257,1.4percent
7258,1.3percent
7259,2.5percent
7260,6.6percent
7261,4.7percent
7262,2.2percent
7263,0.3percent
7264,0.6percent
7265,1.8percent
7266,1.2percent
7267,1.5percent
7268,1percent
7269,0.8percent
7270,0.6percent
7271,0.3percent
7272,0.3percent
7273,1.5percent
7274,1.0percent
7275,0.5percent
7276,1.0percent
7277,0.2percent
7278,2percent
7279,13percent
7280,16percent
7281,20percent
7282,50percent
7283,0.7percent
7284,0.2percent
7285,61percent
7286,20percent
7287,64percent
7288,0.3percent
7289,79.3percent
7290,1.45%
7291,7%
7292,0.6%
7293,0.2%
7294,1.9%
7295,4%
7296,6.4%
7297,0.9percent
7298,4percent
7299,1.3percent
7300,46.5percent
7301,16.5percent
7302,3.7percent
7303,7.2percent
7304,1.1percent
7305,1.45percent
7306,twopercent
7307,6.75%
7308,9.9%
7309,bigpercent
7310,60%
7311,40%
7312,smallpercent
7313,10percent
7314,6.75percent
7315,10percent
7316,3.2percentage point
7317,10percent
7318,0.12percentage point
7319,2percent
7320,200percent
7321,2percent
7322,1percent
7323,2percent
7324,2percent
7325,10percent
7326,20%
7327,5.3%
7328,15%
7329,productionpercentage point
7330,10%
7331,halfpercentage point
7332,10percent
7333,50.0%
7334,44.2%
7335,18.8%
7336,21.1%
7337,31.2%
7338,34.7%
7339,31.2%
7340,23.1%
7341,30%
7342,10percent
7343,10percent
7344,10percent
7345,10percent
7346,30percent
7347,9.9percent
7348,6.75percent
7349,12.5percent
7350,10percent
7351,0.2percent
7352,6.75%
7353,9.9%
7354,15%
7355,25%
7356,6.75%
7357,9.9%
7358,10%
7359,8percent
7360,10percent
7361,10percent
7362,6.5percent
7363,10percent
7364,10%
7365,30%
7366,1percent
7367,1.3percent
7368,9.9percent
7369,6.5percent
7370,1.1percent
7371,2.2percent
7372,1.1percent
7373,1.1percent
7374,1percent
7375,0.1percent
7376,Aucklandpercent
7377,6.5percent
7378,9.9percent
7379,6.5percent
7380,9.9percent
7381,10percent
7382,10percent
7383,10percent
7384,9.9percent
7385,6.5percent
7386,twopercent
7387,25percent
7388,5000%
7389,300%
7390,12000%
7391,90%
7392,20%
7393,50%
7394,3.5%
7395,0.5%
7396,20%
7397,15%
7398,25%
7399,35.4%
7400,54.3%
7401,10%
7402,20%
7403,40%
7404,30%
7405,9%
7406,42%
7407,60%
7408,10%
7409,25%
7410,1.9percent
7411,0.5percent
7412,0.6percent
7413,5%
7414,8percent
7415,14.1%
7416,6.2%
7417,20percent
7418,10percent
7419,56%
7420,57%
7421,56%
7422,17percent
7423,3.5percent
7424,5%
7425,0.5%
7426,1%
7427,50%
7428,75%
7429,12%
7430,5%
7431,0.5%
7432,15%
7433,4%
7434,14%
7435,7%
7436,2.3%
7437,1.7%
7438,4.7%
7439,5.4%
7440,6%
7441,2.5%
7442,2.5%
7443,14%
7444,90percent
7445,50percent
7446,10percent
7447,6.75percent
7448,3percent
7449,10percent
7450,15percent
7451,4%
7452,9.9%
7453,9.9%
7454,28percent
7455,35percent
7456,25percent
7457,39.6percent
7458,7.7percent
7459,1percent
7460,0.5percent
7461,21%
7462,6.5percent
7463,10percent
7464,10%
7465,6.5%
7466,4.65percent
7467,4.98percent
7468,50%
7469,0.5percent
7470,9.9percent
7471,6.5percent
7472,98percent
7473,95%
7474,10percent
7475,10%
7476,15%
7477,3%
7478,100%
7479,31%
7480,2percent
7481,2.9percent
7482,2.5percent
7483,3.0percent
7484,4%
7485,14%
7486,7%
7487,7.7%
7488,3%
7489,9.9percent
7490,sevenpercent
7491,6.5percent
7492,9.9percent
7493,certainpercent
7494,6.5percent
7495,9.9percent
7496,2.7%
7497,2.6%
7498,1%
7499,1%
7500,6.75percent
7501,9.9percent
7502,0.2percent
7503,1percent
7504,1percent
7505,2percent
7506,1.2percent
7507,1percent
7508,0.7percent
7509,0.9%
7510,0.1%
7511,0.2%
7512,0.7%
7513,5percent
7514,44percent
7515,54percent
7516,120%
7517,100percent
7518,30percent
7519,50percent
7520,60percent
7521,10percent
7522,100percent
7523,17percent
7524,17percent
7525,Sixty-fivepercent
7526,biggerpercent
7527,27percent
7528,19percent
7529,certainpercent
7530,3percent
7531,0.7percent
7532,3percent
7533,2.4%
7534,0.76percent
7535,15percent
7536,6.75percent
7537,9.9percent
7538,15.4percent
7539,21.8%
7540,3percent
7541,6.75percent
7542,10percent
7543,15percent
7544,4%
7545,3percent
7546,3.0percent
7547,17percent
7548,95percent
7549,17percent
7550,3.9percent
7551,18percent
7552,10percent
7553,14percent
7554,60percent
7555,22percent
7556,0.8percent
7557,2.8percent
7558,4.6percent
7559,2.3percent
7560,7.3percent
7561,8.5percent
7562,0.6percent
7563,1.8percent
7564,42percent
7565,1.30%
7566,0%
7567,6.75%
7568,9.9%
7569,6.75%
7570,9.9%
7571,twopercent
7572,2.9percent
7573,0.9percent
7574,50percent
7575,54percent
7576,55percent
7577,59percent
7578,8.0percent
7579,8.1percent
7580,8.2%
7581,8.0%
7582,9.9percent
7583,10.3percent
7584,14percent
7585,60percent
7586,7.9percent
7587,8.1percent
7588,8.3percent
7589,8percent
7590,8.1percent
7591,8.2percent
7592,8.0percent
7593,16%
7594,20%
7595,20%
7596,showpercent
7597,halfpercent
7598,6percent
7599,2percent
7600,7percent
7601,47percent
7602,1%
7603,2%
7604,7%
7605,1%
7606,37%
7607,1%
7608,47%
7609,1%
7610,6%
7611,5%
7612,8%
7613,1%
7614,2%
7615,47%
7616,100%
7617,1.2percent
7618,1.1percent
7619,capitalpercent
7620,1.5percentage point
7621,2percent
7622,2percent
7623,halfpercentage point
7624,2percent
7625,2percent
7626,95percent
7627,110percent
7628,80%
7629,8.2percent
7630,18percent
7631,2percent
7632,0.9percent
7633,0.4percent
7634,10%
7635,10%
7636,2%
7637,26percent
7638,8%
7639,2%
7640,8%
7641,1percent
7642,1percent
7643,2percent
7644,7.4percent
7645,79.5percent
7646,0.6percent
7647,1.2percent
7648,1.8percent
7649,2percent
7650,0.7percent
7651,20percent
7652,5.3%
7653,76%
7654,85%
7655,73%
7656,1.2%
7657,0.6%
7658,0.6%
7659,1.2%
7660,5%
7661,5%
7662,4.39%
7663,0.1%
7664,0.5%
7665,0.8%
7666,1%
7667,17percent
7668,95percent
7669,largepercent
7670,8%
7671,50%
7672,8.4%
7673,2%
7674,6%
7675,40%
7676,400%
7677,15percent
7678,40percent
7679,15percent
7680,5percent
7681,5percent
7682,7percent
7683,4.7percent
7684,6percent
7685,6percent
7686,7percent
7687,20%
7688,45%
7689,40percent
7690,15percent
7691,30percent
7692,75percent
7693,certainpercent
7694,17percent
7695,10percent
7696,26percent
7697,95percent
7698,30percent
7699,20%
7700,10%
7701,46%
7702,41%
7703,36%
7704,10%
7705,29%
7706,73%
7707,36%
7708,41%
7709,Sixty-eightpercent
7710,Seventy-ninepercent
7711,26%
7712,23%
7713,Seventy-sixpercent
7714,Fiftypercent
7715,60%
7716,38%
7717,34%
7718,Seventy-eightpercent
7719,10%
7720,0.8percent
7721,1.6percent
7722,0.8percent
7723,11.6percent
7724,24percent
7725,9.6percent
7726,Thepercent
7727,25percent
7728,greaterpercent
7729,22percent
7730,Thepercent
7731,17percent
7732,exceededpercent
7733,14percent
7734,Thepercent
7735,9percent
7736,marginpercent
7737,8percent
7738,17percent
7739,13percent
7740,Thepercent
7741,46percent
7742,exceededpercent
7743,13percent
7744,Twenty-fourpercent
7745,16percent
7746,39percent
7747,32percent
7748,basedpercent
7749,50percent
7750,75percent
7751,25percent
7752,66%
7753,0.6percent
7754,0.7percent
7755,6.5percent
7756,0.5percent
7757,0.6percent
7758,1.6percent
7759,0.7percent
7760,8percent
7761,9.9%
7762,15%
7763,3%
7764,0.6%
7765,0.8%
7766,1%
7767,0.5%
7768,0.24%
7769,axispercent
7770,6%
7771,8.59%
7772,1%
7773,5.56%
7774,4.24%
7775,7.43%
7776,5.46%
7777,5.39%
7778,6%
7779,2.1%
7780,8%
7781,3.5%
7782,10%
7783,10percent
7784,2.1%
7785,8%
7786,3.5%
7787,10%
7788,10percent
7789,9percent
7790,10percent
7791,38percent
7792,15.4percent
7793,7.4percent
7794,1percent
7795,0.4percent
7796,1.4percent
7797,68percent
7798,9.9percent
7799,2.5percent
7800,68percent
7801,certainpercent
7802,91percent
7803,67.3percent
7804,100%
7805,fourpercent
7806,greatestpercent
7807,20percent
7808,1.3percent
7809,20percent
7810,3.2percent
7811,40percent
7812,13%
7813,8%
7814,21%
7815,10%
7816,8%
7817,6%
7818,2%
7819,6%
7820,mid-teenspercent
7821,5%
7822,0.2%
7823,1.5%
7824,6.5%
7825,9.9%
7826,chart%
7827,20%
7828,20percent
7829,Intelligence%
7830,2.35%
7831,10percent
7832,12.5percent
7833,20percent
7834,20percent
7835,4percent
7836,9.9percent
7837,6.5percent
7838,25percent
7839,34%
7840,2.6%
7841,2.4%
7842,1.8%
7843,2.1%
7844,2.0%
7845,1%
7846,highpercent
7847,1percent
7848,confiscatingpercent
7849,21.5percent
7850,mortgagepercent
7851,40%
7852,210%
7853,400%
7854,150%
7855,110%
7856,93%
7857,440%
7858,3700%
7859,15percent
7860,5percent
7861,threepercent
7862,threepercent
7863,6.75%
7864,24percent
7865,1.9%
7866,4%
7867,4%
7868,4%
7869,6%
7870,50%
7871,100percent
7872,9%
7873,38percent
7874,0.03percent
7875,5%
7876,1%
7877,16percent
7878,58percent
7879,58percent
7880,42percent
7881,10percent
7882,12.5percent
7883,20percent
7884,63percent
7885,25percent
7886,yearpercent
7887,accountpercent
7888,20percent
7889,4percent
7890,4percent
7891,1percent
7892,6.75percent
7893,20percent
7894,1percent
7895,2.19%
7896,0.24%
7897,1.5%
7898,1.9%
7899,20%
7900,32.93%
7901,measuringpercent
7902,0.8percent
7903,7.85percent
7904,0.88percent
7905,6.84percent
7906,3.9percent
7907,15.6percent
7908,0.5%
7909,72%
7910,17percent
7911,40percent
7912,5.6percent
7913,4.3percent
7914,653percent
7915,25%
7916,25%
7917,20percent
7918,6.1percent
7919,5.9percent
7920,5.1percent
7921,4.8percent
7922,4.1percent
7923,4.0percent
7924,3.8percent
7925,2percent
7926,30percent
7927,0.75percent
7928,0.2percent
7929,1.55%
7930,2.3%
7931,Sixteenpercent
7932,14percent
7933,44percent
7934,27percent
7935,subtractingpercent
7936,decreasepercent
7937,12.6%
7938,10.3%
7939,4.6%
7940,1.0%
7941,12.1%
7942,28.1%
7943,3.1%
7944,14.3%
7945,LEIpercent
7946,50%
7947,20%
7948,0.3%
7949,94percent
7950,9.56percent
7951,4.3percent
7952,7.8percent
7953,0.47percent
7954,0.40percent
7955,30%
7956,4.6percent
7957,3.5percent
7958,8.5percent
7959,4.1percent
7960,3.6percent
7961,3.7%
7962,3.2%
7963,0%
7964,4%
7965,6%
7966,41%
7967,0.7%
7968,1.7%
7969,242%
7970,2%
7971,8.1percent
7972,1percent
7973,0.9percent
7974,50percent
7975,5.7percent
7976,3.8percent
7977,4.9percent
7978,32percent
7979,4.6percent
7980,13.1percent
7981,45percent
7982,100percent
7983,20percent
7984,22%
7985,35percent
7986,37percent
7987,40percent
7988,45percent
7989,50percent
7990,20.7percent
7991,5percent
7992,19percent
7993,18percent
7994,28percent
7995,2.5%
7996,9.2%
7997,17.8%
7998,23.2%
7999,5.9%
8000,9.5%
8001,7.2%
8002,4.6percent
8003,3.9percent
8004,12.3percent
8005,13.1percent
8006,15.6percent
8007,9.6percent
8008,16.0percent
8009,17.6percent
8010,29.3percent
8011,28.2percent
8012,9.4percent
8013,10.1percent
8014,36.2percent
8015,36.9percent
8016,14.4percent
8017,18.0percent
8018,18.3percent
8019,16.6percent
8020,12.3percent
8021,16.1percent
8022,26.6percent
8023,22.1percent
8024,13.7percent
8025,15.8percent
8026,18.0percent
8027,19.3percent
8028,23percent
8029,10%
8030,19%
8031,19%
8032,5%
8033,4.6%
8034,3%
8035,3.3%
8036,19%
8037,8%
8038,8.08percent
8039,7.85percent
8040,1.02percent
8041,0.8percent
8042,0.92percent
8043,0.88percent
8044,8percent
8045,5.7percent
8046,3.9percent
8047,2.7percent
8048,1.1percent
8049,6.7percent
8050,6.3percent
8051,5.7percent
8052,0.5percent
8053,4.5percent
8054,21.7percent
8055,1.0percent
8056,1.9percent
8057,0.9percent
8058,0.1percent
8059,1.4percent
8060,0.4percent
8061,1.6percent
8062,10.0percent
8063,0.2percent
8064,1.7percent
8065,68.0percent
8066,4.8percent
8067,2.8percent
8068,3.9percent
8069,4.9percent
8070,1.1percent
8071,7.2percent
8072,1.1%
8073,4.7%
8074,4%
8075,30%
8076,0.5%
8077,0.1%
8078,100%
8079,11%
8080,3.25%
8081,10%
8082,0.6%
8083,1%
8084,3.5percent
8085,15percent
8086,14.3percent
8087,20percent
8088,16percent
8089,2.3%
8090,40%
8091,100%
8092,40%
8093,100%
8094,levelpercent
8095,1%
8096,40%
8097,80%
8098,7%
8099,eightypercent
8100,40%
8101,12percent
8102,21%
8103,21%
8104,85%
8105,25%
8106,54%
8107,19%
8108,5%
8109,5%
8110,6.5percent
8111,2.5percent
8112,6.5percent
8113,2.5percent
8114,94percent
8115,50percent
8116,95%
8117,0.75%
8118,10percent
8119,40%
8120,150%
8121,14%
8122,55%
8123,6.1%
8124,3.3%
8125,40percent
8126,32percent
8127,32percent
8128,0.9percent
8129,1.45percent
8130,35percent
8131,85percent
8132,5.3percent
8133,4.4percent
8134,4percent
8135,3.7percent
8136,3.5percent
8137,2.4percent
8138,2.3percent
8139,3percent
8140,2.6percent
8141,99.9%
8142,5percent
8143,0.4percent
8144,0.3percent
8145,fivepercent
8146,8.7percent
8147,3.8percent
8148,9.6percent
8149,0.1percent
8150,0.4percent
8151,2.5percent
8152,0.3percent
8153,50percent
8154,4.6percent
8155,0.8percent
8156,100percent
8157,15%
8158,25%
8159,12%
8160,4%
8161,6.5%
8162,80percent
8163,1.1%
8164,9.7%
8165,40%
8166,2percentage point
8167,50percent
8168,1percent
8169,5percent
8170,35percent
8171,20percent
8172,3.8percent
8173,allowingpercent
8174,75percent
8175,20percent
8176,7.3percent
8177,6.89percent
8178,7.4percent
8179,7.9percent
8180,12.1percent
8181,12.3percent
8182,9.2percent
8183,9.6percent
8184,6.7percent
8185,6.8percent
8186,15.2percent
8187,16.2percent
8188,10percent
8189,39.4percent
8190,8.8percent
8191,9.4percent
8192,5.8percent
8193,5.9percent
8194,23percent
8195,33percent
8196,40percent
8197,64percent
8198,58percent
8199,58percent
8200,13percent
8201,22percent
8202,3.5%
8203,2%
8204,6%
8205,0.7%
8206,0.3%
8207,10percent
8208,2percent
8209,15.26%
8210,6.7percent
8211,5.4percent
8212,9.4percent
8213,10%
8214,130percent
8215,ninepercent
8216,129percent
8217,0.4percent
8218,0.5percent
8219,0.1percent
8220,1.8percent
8221,2.1percent
8222,0.4percent
8223,3.1percent
8224,0.4percent
8225,3.1percent
8226,0.1percent
8227,0.18percentage point
8228,0.25percentage point
8229,0.11percentage point
8230,9percent
8231,59percent
8232,50%
8233,6.9%
8234,10percent
8235,2percent
8236,2%
8237,1.2%
8238,3%
8239,1.26%
8240,2.8%
8241,6%
8242,4.4percent
8243,1.5%
8244,6%
8245,42percent
8246,unitpercentage point
8247,100%
8248,4percent
8249,6percent
8250,10percent
8251,8.1percent
8252,32percent
8253,70percent
8254,25%
8255,2.9%
8256,9.5%
8257,Thesepercent
8258,similarpercent
8259,9.6%
8260,52.6%
8261,18%
8262,70%
8263,13%
8264,4percent
8265,3percent
8266,4%
8267,54%
8268,100%
8269,100%
8270,13%
8271,15%
8272,1.1%
8273,0.7%
8274,1.1percent
8275,0.8percent
8276,0.7percent
8277,0.6percent
8278,2.6percent
8279,2.2percent
8280,2.4%
8281,ninepercent
8282,leadpercent
8283,54percent
8284,50percent
8285,0.9%
8286,0.6%
8287,0.2%
8288,2.5percent
8289,5percent
8290,30percent
8291,30percent
8292,10percent
8293,25percent
8294,1percent
8295,0.28percent
8296,0.21percentage point
8297,1percentage point
8298,59.4percent
8299,55.5percent
8300,50%
8301,13000%
8302,2%
8303,15%
8304,6%
8305,85%
8306,5%
8307,45%
8308,66%
8309,92%
8310,30.5%
8311,70%
8312,25%
8313,10percent
8314,9percent
8315,4percent
8316,20percent
8317,20percent
8318,4.5percent
8319,20percent
8320,40%
8321,20%
8322,20%
8323,2.43percent
8324,2.4percent
8325,20percent
8326,9percent
8327,0.5percent
8328,0.2percent
8329,0.4percent
8330,1.8percent
8331,0.4percent
8332,1.8percent
8333,20%
8334,1%
8335,7.5%
8336,15percent
8337,0.08percent
8338,1percent
8339,20percent
8340,30%
8341,40%
8342,37.5%
8343,62.5%
8344,2%
8345,2%
8346,2%
8347,twopercentage point
8348,5%
8349,5%
8350,2.2%
8351,2%
8352,2%
8353,2%
8354,5%
8355,2%
8356,10%
8357,5%
8358,95%
8359,twenty-fivepercent
8360,6%
8361,7%
8362,144percent
8363,2percent
8364,37percent
8365,69percent
8366,1.8percent
8367,6.8percent
8368,40%
8369,70percent
8370,75percent
8371,50percent
8372,50percent
8373,24.5%
8374,24.5%
8375,30.7%
8376,21%
8377,29%
8378,29%
8379,90%
8380,2%
8381,8%
8382,5%
8383,5%
8384,10%
8385,12percent
8386,2.4percent
8387,30%
8388,exportpercent
8389,8percent
8390,2%
8391,26%
8392,100%
8393,5%
8394,5%
8395,5%
8396,10%
8397,5%
8398,99%
8399,99%
8400,99%
8401,99%
8402,99%
8403,5.58percent
8404,10%
8405,100percent
8406,51.3percent
8407,2.9percentage point
8408,54.2percent
8409,52.2percent
8410,1.6percentage point
8411,52.6percent
8412,7percentage point
8413,1.2percent
8414,7.9percent
8415,1percent
8416,2.1percent
8417,2percent
8418,2.2percent
8419,20.1percent
8420,4.9percent
8421,11.7percent
8422,2.1%
8423,1.0%
8424,1.4%
8425,fourpercent
8426,k-percent
8427,2%
8428,2.1percent
8429,2%
8430,9%
8431,3%
8432,2.5%
8433,3.0%
8434,3.5%
8435,smallerpercent
8436,3.3%
8437,2.0%
8438,1.2percentage point
8439,1.4%
8440,1.2%
8441,7.6percent
8442,6.4percent
8443,6.37percent
8444,6.5percent
8445,2percent
8446,valuepercent
8447,97percent
8448,44percent
8449,55percent
8450,interestpercent
8451,75%
8452,sixpercent
8453,6.5percent
8454,2%
8455,3%
8456,0%
8457,2.5percent
8458,6.5percent
8459,87%
8460,84%
8461,2percent
8462,7.6%
8463,2.5%
8464,1percent
8465,6.3percent
8466,5.9percent
8467,34.4percent
8468,4.4percent
8469,10percent
8470,15.4percent
8471,7.6percent
8472,37.8percent
8473,13.2percent
8474,16percent
8475,5percent
8476,22percent
8477,31percent
8478,24percent
8479,15percent
8480,18.4percent
8481,12.5percent
8482,52.9percent
8483,10percent
8484,11%
8485,11%
8486,0.1%
8487,1.69%
8488,1.92%
8489,2%
8490,2%
8491,12percent
8492,one-percent
8493,5.4%
8494,13percent
8495,30%
8496,20%
8497,3percent
8498,5percent
8499,2percent
8500,97%
8501,2.6percent
8502,60.9percent
8503,20percent
8504,98percent
8505,3.0percent
8506,2.9percent
8507,2.0percent
8508,1.0percent
8509,60percent
8510,40%
8511,12%
8512,10%
8513,50percent
8514,100%
8515,1percent
8516,40percent
8517,631%
8518,33.8%
8519,25.9%
8520,12%
8521,1%
8522,1%
8523,0.3%
8524,1.8percent
